"Abington","04/27/2013","1562.75","0.00","0.00","0.00","(126.08)","3486.29","11/04/2013","3105.75","1324.88","0.00","0.00","(4.04)","5098.36","15:24:00","0:00:00","189.17","0.00","0.00","(130.12)","240.69","0.00","0.00","8454.53"
"Acton","04/27/2013","1799.74","0.00","0.00","0.00","(127.08)","2667.68","11/04/2013","3781.34","1324.88","0.00","0.00","(4.04)","6054.92","17:24:00","0:00:00","180.78","0.00","0.00","(131.12)","293.06","0.00","0.00","8591.48"
"Acushnet","04/27/2013","947.88","1071.31","0.00","0.00","(128.08)","495.69","11/04/2013","5788.12","0.00","0.00","0.00","(4.04)","7285.71","9:12:00","10:12:00","101.13","0.00","0.00","(132.12)","448.58","0.00","0.00","7649.28"
"Adams","04/27/2013","1154.05","1061.21","0.00","0.00","(129.08)","1187.10","11/04/2013","4014.58","0.00","0.00","0.00","(4.04)","5594.31","11:12:00","10:12:00","114.55","0.00","0.00","(133.12)","311.13","0.00","0.00","6648.29"
"Agawam","04/27/2013","1256.62","0.00","0.00","0.00","(173.03)","828.03","11/04/2013","4685.95","0.00","0.00","0.00","(4.04)","6414.26","12:24:00","0:00:00","108.53","0.00","0.00","(177.07)","363.16","0.00","0.00","7065.22"
"Alford","04/27/2013","344.80","530.71","0.00","0.00","(106.04)","1447.69","11/04/2013","4697.55","666.10","0.00","0.00","0.00","5442.56","3:24:00","5:12:00","36.15","0.00","0.00","(106.04)","364.06","0.00","0.00","6784.21"
"Amesbury","04/27/2013","1209.20","105.07","0.00","0.00","0.00","4009.96","11/04/2013","3585.92","0.00","0.00","0.00","0.00","5199.54","11:36:00","1:00:00","126.51","(105.07)","0.00","0.00","277.91","0.00","0.00","9209.50"
"Amherst","04/27/2013","981.36","0.00","0.00","0.00","(25.04)","1678.11","11/05/2013","1791.33","0.00","0.00","0.00","0.00","2986.15","9:24:00","0:00:00","74.63","0.00","0.00","(25.04)","138.83","0.00","0.00","4639.22"
"Andover","04/27/2013","1931.88","104.09","0.00","0.00","0.00","6205.84","11/05/2013","450.71","1990.98","0.00","0.00","0.00","2606.37","18:36:00","1:00:00","188.85","(104.09)","0.00","0.00","34.93","0.00","0.00","8812.21"
"Aquinnah","04/27/2013","424.62","1572.54","0.00","0.00","0.00","2912.64","11/05/2013","2432.27","666.10","0.00","0.00","0.00","3082.50","4:12:00","15:24:00","37.11","0.00","0.00","0.00","188.50","0.00","0.00","5995.14"
"Arlington","04/27/2013","727.99","530.97","0.00","0.00","(111.04)","3430.63","11/05/2013","3761.35","0.00","0.00","0.00","0.00","4868.97","7:12:00","5:12:00","88.12","0.00","0.00","(111.04)","291.51","0.00","0.00","8188.56"
"Ashburnham","04/27/2013","1594.24","0.00","0.00","0.00","0.00","3702.74","11/05/2013","3105.75","1324.88","0.00","0.00","0.00","5095.12","15:24:00","0:00:00","154.44","0.00","0.00","0.00","240.69","0.00","0.00","8797.86"
"Ashby","04/27/2013","1812.87","0.00","0.00","0.00","0.00","2940.69","11/05/2013","3781.34","1324.88","0.00","0.00","0.00","6114.46","17:24:00","0:00:00","227.19","0.00","0.00","0.00","293.06","0.00","0.00","9055.15"
