"Abington","2982.94","2143.59","922.48","0.00","813.89","6862.90","6049.01"
"Acton","2160.95","2378.60","979.93","0.00","876.10","6395.58","5519.48"
"Acushnet","0.00","2601.16","0.00","0.00","980.54","3581.70","2601.16"
"Adams","713.09","407.42","1419.16","149.54","148.52","2837.73","2689.21"
"Agawam","303.11","423.47","103.58","0.00","1184.46","2014.62","830.16"
"Alford","1580.35","398.25","647.42","373.19","535.54","3534.75","2999.21"
"Amesbury","6376.77","3042.12","2428.63","2090.05","2341.03","16278.60","13937.57"
"Amherst","2094.03","1521.87","1059.28","358.23","713.17","5746.58","5033.41"
"Andover","8451.91","1507.36","1992.75","1507.36","2230.84","15690.22","13459.38"
"Aquinnah","2802.21","1668.69","0.00","0.00","467.94","4938.84","4470.90"
"Arlington","3303.79","1912.10","811.23","0.00","0.00","6027.12","6027.12"
"Ashburnham","3579.23","2157.77","895.01","0.00","789.35","7421.36","6632.01"
"Ashby","2824.26","2400.65","1066.99","0.00","954.54","7246.44","6291.90"
"Ashfield","646.76","2630.87","0.00","0.00","1041.02","4318.65","3277.63"
"Ashland","1412.03","255.84","1282.67","0.00","0.00","2950.54","2950.54"
"Athol","1081.30","460.62","132.70","0.00","1245.19","2919.81","1674.62"
"Attleboro","1177.71","0.00","250.77","0.00","116.41","1544.89","1428.48"
"Auburn","1785.42","952.08","377.32","0.00","229.42","3344.24","3114.82"
"Avon","1515.26","1188.68","674.95","0.00","350.69","3729.58","3378.89"
"Ayer","3500.70","0.00","438.82","0.00","0.00","3939.52","3939.52"
"Barnstable","4993.66","1662.63","0.00","0.00","1447.61","8103.90","6656.29"
"Barre","1934.06","0.00","0.00","33.74","0.00","1967.80","1967.80"
"Becket","420.33","2157.77","0.00","459.91","378.76","3416.77","3038.01"
"Bedford","2819.26","2405.70","0.00","1680.13","1499.73","8404.82","6905.09"
"Belchertown","141.22","2655.91","0.00","0.00","27.03","2824.16","2797.13"
"Bellingham","2846.15","230.80","0.00","2963.40","0.00","6040.35","6040.35"
"Belmont","3243.56","460.61","0.00","390.05","3792.71","7886.93","4094.22"
"Berkley","2281.68","0.00","0.00","860.95","490.52","3633.15","3142.63"
"Berlin","1923.34","952.08","0.00","481.48","298.39","3655.29","3356.90"
"Bernardston","1315.71","1188.68","24.93","546.83","293.03","3369.18","3076.15"
"Beverly","5702.25","26.94","0.00","956.57","1455.43","8141.19","6685.76"
"Billerica","3636.82","1643.65","0.00","0.00","895.16","6175.63","5280.47"
