"Abington","10/27/2013","0.00","0.00","0.00","0.00","(103.09)","6376.23","","0.00","0.00","1.99","0.00","(10.10)","1.99","0:00:00","0:00:00","0.00","0.00","0.00","(113.19)","0.00","0.00","0.00","6265.03"
"Acton","10/27/2013","0.00","0.00","0.00","0.00","(104.60)","7724.55","","0.00","0.00","2.99","0.00","(10.10)","2.99","0:00:00","0:00:00","0.00","0.00","0.00","(114.70)","0.00","0.00","0.00","7612.84"
"Acushnet","10/27/2013","0.00","0.00","0.00","0.00","(107.09)","5133.22","","0.00","0.00","3.99","0.00","(10.10)","3.99","0:00:00","0:00:00","0.00","0.00","0.00","(117.19)","0.00","0.00","0.00","5020.02"
"Adams","10/27/2013","0.00","0.00","0.00","0.00","(109.09)","4639.16","","0.00","0.00","4.99","0.00","(10.10)","4.99","0:00:00","0:00:00","0.00","0.00","0.00","(119.19)","0.00","0.00","0.00","4524.96"
"Agawam","10/27/2013","0.00","0.00","0.00","0.00","(111.09)","4090.75","","0.00","0.00","5.99","0.00","(10.10)","5.99","0:00:00","0:00:00","0.00","0.00","0.00","(121.19)","0.00","0.00","0.00","3975.55"
"Amherst","10/27/2013","0.00","0.00","0.00","0.00","0.00","6766.89","","0.00","0.00","0.00","0.00","(10.10)","0.00","0:00:00","0:00:00","0.00","0.00","0.00","(10.10)","0.00","0.00","0.00","6756.79"
"Aquinnah","10/27/2013","0.00","0.00","0.00","0.00","(110.10)","5754.07","","0.00","0.00","0.00","0.00","0.00","0.00","0:00:00","0:00:00","0.00","0.00","0.00","(110.10)","0.00","0.00","0.00","5643.97"
"Ashland","10/27/2013","0.00","0.00","0.00","0.00","(115.10)","4926.23","","0.00","0.00","0.00","0.00","0.00","0.00","0:00:00","0:00:00","0.00","0.00","0.00","(115.10)","0.00","0.00","0.00","4811.13"
"Attleboro","10/27/2013","0.00","0.00","0.00","0.00","0.00","4069.26","","0.00","0.00","0.00","0.00","(10.10)","0.00","0:00:00","0:00:00","0.00","0.00","0.00","(10.10)","0.00","0.00","0.00","4059.16"
"Ayer","10/27/2013","0.00","0.00","0.00","0.00","(120.10)","3868.87","","0.00","0.00","0.00","0.00","0.00","0.00","0:00:00","0:00:00","0.00","0.00","0.00","(120.10)","0.00","0.00","0.00","3748.77"
"Belchertown","10/27/2013","0.00","0.00","0.00","0.00","(125.10)","4640.83","","0.00","0.00","25.99","0.00","0.00","25.99","0:00:00","0:00:00","0.00","0.00","0.00","(125.10)","0.00","0.00","0.00","4541.72"
"Bellingham","10/27/2013","0.00","0.00","0.00","0.00","0.00","7751.76","","0.00","0.00","0.00","0.00","(10.10)","0.00","0:00:00","0:00:00","0.00","0.00","0.00","(10.10)","0.00","0.00","0.00","7741.66"
"Bernardston","10/27/2013","0.00","0.00","0.00","0.00","(130.10)","3766.58","","0.00","0.00","0.00","0.00","0.00","0.00","0:00:00","0:00:00","0.00","0.00","0.00","(130.10)","0.00","0.00","0.00","3636.48"
"Bolton","10/27/2013","0.00","0.00","0.00","0.00","(135.10)","10155.96","","0.00","0.00","0.00","0.00","(10.10)","0.00","0:00:00","0:00:00","0.00","0.00","0.00","(145.20)","0.00","0.00","0.00","10010.76"
"Boylston","10/27/2013","0.00","0.00","0.00","0.00","(140.10)","3893.65","","0.00","0.00","0.00","0.00","0.00","0.00","0:00:00","0:00:00","0.00","0.00","0.00","(140.10)","0.00","0.00","0.00","3753.55"
"Brimfield","10/27/2013","0.00","0.00","0.00","0.00","0.00","5861.31","","0.00","0.00","0.00","0.00","(10.10)","0.00","0:00:00","0:00:00","0.00","0.00","0.00","(10.10)","0.00","0.00","0.00","5851.21"
"Brockton","10/27/2013","0.00","0.00","0.00","0.00","(145.10)","6711.35","","0.00","0.00","0.00","0.00","0.00","0.00","0:00:00","0:00:00","0.00","0.00","0.00","(145.10)","0.00","0.00","0.00","6566.25"
"Cambridge","10/27/2013","0.00","0.00","0.00","0.00","(150.10)","4175.68","","0.00","0.00","0.00","0.00","0.00","0.00","0:00:00","0:00:00","0.00","0.00","0.00","(150.10)","0.00","0.00","0.00","4025.58"
"Carver","10/27/2013","0.00","0.00","0.00","0.00","0.00","4477.71","","0.00","0.00","0.00","0.00","(10.10)","0.00","0:00:00","0:00:00","0.00","0.00","0.00","(10.10)","0.00","0.00","0.00","4467.61"
"Charlton","10/27/2013","0.00","0.00","0.00","0.00","(155.10)","7144.20","","0.00","0.00","0.00","0.00","0.00","0.00","0:00:00","0:00:00","0.00","0.00","0.00","(155.10)","0.00","0.00","0.00","6989.10"
"Chester","10/27/2013","0.00","0.00","0.00","0.00","(160.10)","5229.70","","0.00","0.00","60.99","0.00","0.00","60.99","0:00:00","0:00:00","0.00","0.00","0.00","(160.10)","0.00","0.00","0.00","5130.59"
"Chicopee","10/27/2013","0.00","0.00","0.00","0.00","0.00","3476.11","","0.00","0.00","0.00","0.00","(10.10)","0.00","0:00:00","0:00:00","0.00","0.00","0.00","(10.10)","0.00","0.00","0.00","3466.01"
"Clinton","10/27/2013","0.00","0.00","0.00","0.00","(165.10)","5761.20","","0.00","0.00","0.00","0.00","0.00","0.00","0:00:00","0:00:00","0.00","0.00","0.00","(165.10)","0.00","0.00","0.00","5596.10"
