"Abington","07/27/2013","734.47","0.00","0.00","0.00","(126.14)","5929.11","11/04/2013","1103.18","1324.88","1.99","0.00","(7.07)","1915.91","7:12:00","0:00:00","29.38","0.00","0.00","(133.21)","46.89","0.00","0.00","7711.81"
"Acton","07/27/2013","861.16","0.00","0.00","0.00","(127.14)","5530.08","11/04/2013","1548.67","1324.88","2.99","0.00","(7.07)","2513.09","8:12:00","0:00:00","34.45","0.00","0.00","(134.21)","65.82","0.00","0.00","7908.96"
"Acushnet","07/27/2013","947.88","0.00","0.00","0.00","(147.52)","2667.15","11/04/2013","3323.24","0.00","3.99","0.00","(7.07)","4454.27","9:12:00","0:00:00","37.92","0.00","0.00","(154.59)","141.24","0.00","0.00","6966.83"
"Adams","07/27/2013","0.00","1061.21","0.00","0.00","(129.14)","2745.66","11/04/2013","3991.23","0.00","4.99","0.00","(7.07)","4113.60","0:00:00","10:12:00","0.00","0.00","0.00","(136.21)","167.50","(50.12)","0.00","6723.05"
"Agawam","07/27/2013","1131.76","0.00","0.00","0.00","(145.23)","967.25","11/04/2013","4235.24","959.40","5.99","0.00","(7.07)","5598.26","11:12:00","0:00:00","45.27","0.00","0.00","(152.30)","180.00","0.00","0.00","6413.21"
"Alford","07/27/2013","122.47","802.62","0.00","0.00","0.00","2901.01","11/04/2013","5117.27","0.00","0.00","0.00","0.00","5409.87","1:12:00","5:12:00","4.90","0.00","0.00","0.00","215.35","(50.12)","0.00","8310.88"
"Amesbury","07/27/2013","569.17","39.30","0.00","0.00","0.00","13622.23","11/04/2013","4291.27","0.00","0.00","51.23","0.00","5066.86","8:39:00","0:45:00","20.76","(89.43)","0.00","0.00","184.56","0.00","0.00","18689.09"
"Amherst","07/27/2013","712.89","38.56","0.00","0.00","(108.07)","4952.91","11/05/2013","688.15","1908.26","0.00","0.00","0.00","1406.68","10:39:00","0:45:00","26.51","(88.68)","0.00","(108.07)","29.25","0.00","0.00","6251.52"
"Andover","07/27/2013","1975.56","118.07","0.00","0.00","0.00","12902.84","11/05/2013","450.71","666.10","0.00","0.00","0.00","2577.73","14:39:00","0:45:00","81.07","(66.84)","0.00","0.00","19.16","0.00","0.00","15480.57"
"Aquinnah","07/27/2013","424.62","1559.56","0.00","0.00","0.00","4361.97","11/05/2013","883.60","666.10","0.00","0.00","0.00","1362.75","4:12:00","10:12:00","16.98","0.00","0.00","0.00","37.55","0.00","0.00","5724.72"
"Arlington","07/27/2013","0.00","530.97","0.00","0.00","(25.07)","5820.87","11/05/2013","1986.78","0.00","0.00","0.00","(7.07)","2071.22","0:00:00","5:12:00","0.00","0.00","0.00","(32.14)","84.44","0.00","0.00","7859.95"
"Ashburnham","07/27/2013","756.86","0.00","0.00","0.00","0.00","6551.74","11/05/2013","1103.18","1324.88","0.00","0.00","0.00","1937.20","7:12:00","0:00:00","30.27","0.00","0.00","0.00","46.89","0.00","0.00","8488.94"
