"Abington","2861.27","0.002559","27:48:00","0.003182","2861.27","0.003286","27:48:00","0.004112","0.00","0.000000","0:00:00","0.000000","2861.27","0.00","0.000000","0.000000","1390.80","0.169616","27:24:00","0:24:00","0.000000","6346.00","0.003555","5084.21","0.003296","1261.79","0.005199","5338.42","(1007.58)","-0.158774","-0.109400","9207.27","0.003171","27:48:00","0.003182","7945.48","0.003292","27:48:00","0.004112","1261.79","0.002574","0:00:00","0.000000","8199.69","(1007.58)","-0.109433","-0.109400","1390.80","0.169616","27:24:00","0:24:00","0.000000"
"Acton","2154.40","0.001926","20:48:00","0.002381","2154.40","0.002474","20:48:00","0.003077","0.00","0.000000","0:00:00","0.000000","2154.40","0.00","0.000000","0.000000","1040.74","0.123888","20:24:00","0:24:00","0.000000","7210.56","0.004039","5948.77","0.003857","1261.79","0.005199","6246.22","(964.34)","-0.133740","-0.103000","9364.96","0.003225","20:48:00","0.002381","8103.17","0.003358","20:48:00","0.003077","1261.79","0.002574","0:00:00","0.000000","8400.62","(964.34)","-0.102973","-0.103000","1040.74","0.123888","20:24:00","0:24:00","0.000000"
"Acushnet","2577.76","0.002305","24:48:00","0.002839","1506.45","0.001730","14:36:00","0.002160","1071.31","0.004330","10:12:00","0.005163","1506.45","(1071.31)","-0.415597","-0.094300","1240.98","0.164761","24:24:00","0:24:00","0.009901","5738.62","0.003215","5738.62","0.003720","0.00","0.000000","6025.56","286.94","0.050002","0.000000","8316.38","0.002864","24:48:00","0.002839","7245.07","0.003002","14:36:00","0.002160","1071.31","0.002186","10:12:00","0.005163","7532.01","(784.37)","-0.094316","-0.094300","1240.98","0.164761","24:24:00","0:24:00","0.009901"
"Adams","3183.64","0.002847","30:48:00","0.003526","2122.43","0.002437","20:36:00","0.003047","1061.21","0.004289","10:12:00","0.005163","2122.43","(1061.21)","-0.333332","0.000000","1541.03","0.244570","30:24:00","0:24:00","0.000000","4252.66","0.002382","4252.66","0.002757","0.00","0.000000","4178.55","(74.11)","-0.017427","-0.152700","7436.30","0.002561","30:48:00","0.003526","6375.09","0.002642","20:36:00","0.003047","1061.21","0.002165","10:12:00","0.005163","6300.98","(1135.32)","-0.152673","-0.152700","1541.03","0.244570","30:24:00","0:24:00","0.000000"
"Agawam","2313.74","0.002069","22:48:00","0.002610","2313.74","0.002657","22:48:00","0.003373","0.00","0.000000","0:00:00","0.000000","2313.74","0.00","0.000000","-0.055500","1140.32","0.162910","22:24:00","0:24:00","0.019608","5097.19","0.002855","4462.81","0.002893","634.38","0.002614","4685.95","(411.24)","-0.080680","0.000000","7410.93","0.002552","22:48:00","0.002610","6776.55","0.002808","22:48:00","0.003373","634.38","0.001294","0:00:00","0.000000","6999.69","(411.24)","-0.055491","-0.055500","1140.32","0.162910","22:24:00","0:24:00","0.019608"
"Alford","1847.47","0.001652","18:00:00","0.002060","786.05","0.000903","7:36:00","0.001124","1061.42","0.004290","10:24:00","0.005264","786.05","(1061.42)","-0.574526","-0.249300","900.45","0.153839","17:30:00","0:30:00","0.047619","5949.75","0.003333","5315.37","0.003446","634.38","0.002614","5067.15","(882.60)","-0.148342","0.000000","7797.22","0.002685","18:00:00","0.002060","6101.42","0.002528","7:36:00","0.001124","1695.80","0.003460","10:24:00","0.005264","5853.20","(1944.02)","-0.249322","-0.249300","900.45","0.153839","17:30:00","0:30:00","0.047619"
"Amesbury","2606.73","0.002331","25:00:00","0.002862","1913.17","0.002197","18:18:00","0.002707","693.56","0.002803","6:42:00","0.003391","1133.55","(1473.18)","-0.565145","0.000000","1251.05","0.196717","24:30:00","0:30:00","0.000000","4465.80","0.002502","4465.80","0.002895","0.00","0.000000","5226.10","760.30","0.170249","-0.100800","7072.53","0.002436","25:00:00","0.002862","6378.97","0.002643","18:18:00","0.002707","693.56","0.001415","6:42:00","0.003391","6359.65","(712.88)","-0.100796","-0.100800","1251.05","0.196717","24:30:00","0:30:00","0.000000"
"Amherst","3421.26","0.003059","33:00:00","0.003778","3266.64","0.003751","31:30:00","0.004660","154.62","0.000625","1:30:00","0.000759","2396.56","(1024.70)","-0.299510","-0.344500","1651.20","0.394280","32:30:00","0:30:00","0.010989","2967.82","0.001662","1706.03","0.001106","1261.79","0.005199","1791.33","(1176.49)","-0.396416","0.000000","6389.08","0.002200","33:00:00","0.003778","4972.67","0.002060","31:30:00","0.004660","1416.41","0.002890","1:30:00","0.000759","4187.89","(2201.19)","-0.344524","-0.344500","1651.20","0.394280","32:30:00","0:30:00","0.010989"
"Andover","3822.54","0.003418","37:00:00","0.004235","3666.40","0.004210","35:30:00","0.005251","156.14","0.000631","1:30:00","0.000759","4670.14","847.60","0.221737","-0.125100","1851.20","0.277561","36:30:00","0:30:00","0.010989","3800.34","0.002129","1904.17","0.001234","1896.17","0.007812","1999.38","(1800.96)","-0.473894","0.000000","7622.88","0.002625","37:00:00","0.004235","5570.57","0.002308","35:30:00","0.005251","2052.31","0.004187","1:30:00","0.000759","6669.52","(953.36)","-0.125066","-0.125100","1851.20","0.277561","36:30:00","0:30:00","0.010989"
"Aquinnah","3967.70","0.003548","39:00:00","0.004464","1363.94","0.001566","13:24:00","0.001982","2603.76","0.010523","25:36:00","0.012957","1363.94","(2603.76)","-0.656239","-0.352900","1950.63","0.350154","38:30:00","0:30:00","0.009901","4640.89","0.002600","4006.51","0.002597","634.38","0.002614","4206.84","(434.05)","-0.093527","0.000000","8608.59","0.002965","39:00:00","0.004464","5370.45","0.002225","13:24:00","0.001982","3238.14","0.006606","25:36:00","0.012957","5570.78","(3037.81)","-0.352881","-0.352900","1950.63","0.350154","38:30:00","0:30:00","0.009901"
