Transaction Type,Timekeeper Nickname 1,Client Nickname 1,Activity Nickname 1,Reference Nickname 1,Extra,Transaction Date,Hold
Expense,CoreyM,Abington,Cleanup Supplies,UUU-Project,Slip: e703,3/29/2013,No
Expense,ElvisP,Acton,Pavers,,Slip: e704,3/29/2013,No
Expense,JamesR,Acushnet,Wood,AAA-Project,Slip: e705,3/30/2013,No
Expense,SamS,Adams,First aid,ADAMS-Project01,Slip: e706,3/30/2013,No
Expense,ShawnR,Agawam,Plants,AGAWA-Project02,Slip: e707,3/30/2013,No
Expense,TomH,Alford,Landscape Supplies,EEE-Project,Slip: e708,3/30/2013,No
Expense,CoreyM,Amesbury,Snacks,III-Project,Slip: e709,3/30/2013,No
Expense,ElvisP,Amherst,Consultants,OOO-Project,Slip: e710,3/30/2013,No
Expense,JamesR,Andover,Hand Tools,UUU-Project,Slip: e711,3/30/2013,No
Expense,SamS,Aquinnah,Power Tools,,Slip: e712,3/30/2013,No
Expense,ShawnR,Arlington,Cleanup Supplies,AAA-Project,Slip: e713,3/31/2013,No
Expense,TomH,Ashburnham,Pavers,ASHBU-Project01,Slip: e714,3/31/2013,No
Expense,CoreyM,Ashby,Wood,ASHBY-Project02,Slip: e715,3/31/2013,No
Expense,ElvisP,Ashfield,First aid,EEE-Project,Slip: e716,3/31/2013,No
Expense,JamesR,Ashland,Plants,III-Project,Slip: e717,3/31/2013,No
Expense,SamS,Athol,Landscape Supplies,OOO-Project,Slip: e718,3/31/2013,No
Expense,ShawnR,Attleboro,Snacks,UUU-Project,Slip: e719,3/31/2013,No
Expense,TomH,Auburn,Consultants,,Slip: e720,3/31/2013,No
Expense,CoreyM,Avon,Hand Tools,AAA-Project,Slip: e721,4/1/2013,No
Expense,ElvisP,Ayer,Power Tools,AYER-Project01,Slip: e722,4/1/2013,No
Expense,JamesR,Barnstable,Cleanup Supplies,BARNS-Project02,Slip: e723,4/1/2013,No
Expense,SamS,Barre,Pavers,EEE-Project,Slip: e724,4/1/2013,No
Expense,ShawnR,Becket,Wood,III-Project,Slip: e725,4/1/2013,Yes
Expense,TomH,Bedford,First aid,OOO-Project,Slip: e726,4/1/2013,No
Expense,CoreyM,Belchertown,Plants,UUU-Project,Slip: e727,4/1/2013,No
Expense,ElvisP,Bellingham,Landscape Supplies,,Slip: e728,4/1/2013,No
Expense,JamesR,Belmont,Snacks,AAA-Project,Slip: e729,4/2/2013,No
Expense,SamS,Berkley,Consultants,BERKL-Project01,Slip: e730,4/2/2013,No
Expense,ShawnR,Berlin,Hand Tools,BERLI-Project02,Slip: e731,4/2/2013,No
Expense,TomH,Bernardston,Power Tools,EEE-Project,Slip: e732,4/2/2013,No
Expense,CoreyM,Beverly,Cleanup Supplies,III-Project,Slip: e733,4/2/2013,No
Expense,ElvisP,Billerica,Pavers,OOO-Project,Slip: e734,4/2/2013,No
Expense,JamesR,Blackstone,Wood,UUU-Project,Slip: e735,4/2/2013,No
Expense,SamS,Blandford,First aid,,Slip: e736,4/2/2013,No
Expense,ShawnR,Bolton,Plants,AAA-Project,Slip: e737,4/3/2013,No
Expense,TomH,Boston,Landscape Supplies,BOSTO-Project01,Slip: e738,4/3/2013,No
Expense,CoreyM,Bourne,Snacks,BOURN-Project02,Slip: e739,4/3/2013,No
Expense,ElvisP,Boxborough,Consultants,EEE-Project,Slip: e740,4/3/2013,No
Expense,JamesR,Boxford,Hand Tools,III-Project,Slip: e741,4/3/2013,No
Expense,SamS,Boylston,Power Tools,OOO-Project,Slip: e742,4/3/2013,No
Expense,ShawnR,Braintree,Cleanup Supplies,UUU-Project,Slip: e743,4/3/2013,No
Expense,TomH,Brewster,Pavers,,Slip: e744,4/3/2013,No
Expense,CoreyM,Bridgewater,Wood,AAA-Project,Slip: e745,4/4/2013,No
Expense,ElvisP,Brimfield,First aid,BRIMF-Project01,Slip: e746,4/4/2013,No
Expense,JamesR,Brockton,Plants,BROCK-Project02,Slip: e747,4/4/2013,No
Expense,SamS,Brookfield,Landscape Supplies,EEE-Project,Slip: e748,4/4/2013,No
Expense,ShawnR,Brookline,Snacks,III-Project,Slip: e749,4/4/2013,No
Expense,TomH,Buckland,Consultants,OOO-Project,Slip: e750,4/4/2013,Yes
Expense,CoreyM,Burlington,Hand Tools,UUU-Project,Slip: e751,4/4/2013,No
Expense,ElvisP,Cambridge,Power Tools,,Slip: e752,4/4/2013,No
Expense,JamesR,Canton,Cleanup Supplies,AAA-Project,Slip: e753,4/5/2013,No
Expense,SamS,Carlisle,Pavers,CARLI-Project01,Slip: e754,4/5/2013,No
Expense,ShawnR,Carver,Wood,CARVE-Project02,Slip: e755,4/5/2013,No
Expense,TomH,Charlemont,First aid,EEE-Project,Slip: e756,4/5/2013,No
Expense,CoreyM,Charlton,Plants,III-Project,Slip: e757,4/5/2013,No
Expense,ElvisP,Chatham,Landscape Supplies,OOO-Project,Slip: e758,4/5/2013,No
Expense,JamesR,Chelmsford,Snacks,UUU-Project,Slip: e759,4/5/2013,No
Expense,SamS,Chelsea,Consultants,,Slip: e760,4/5/2013,No
Expense,ShawnR,Cheshire,Hand Tools,AAA-Project,Slip: e761,4/6/2013,No
Expense,TomH,Chester,Power Tools,CHEST-Project01,Slip: e762,4/6/2013,No
Expense,CoreyM,Chesterfield,Cleanup Supplies,CHEST-Project02,Slip: e763,4/6/2013,No
Expense,ElvisP,Chicopee,Pavers,EEE-Project,Slip: e764,4/6/2013,No
Expense,JamesR,Chilmark,Wood,III-Project,Slip: e765,4/6/2013,No
Expense,SamS,Clarksburg,First aid,OOO-Project,Slip: e766,4/6/2013,No
Expense,ShawnR,Clinton,Plants,UUU-Project,Slip: e767,4/6/2013,No
Expense,TomH,Cohasset,Landscape Supplies,,Slip: e768,4/6/2013,No
Expense,CoreyM,Colrain,Snacks,AAA-Project,Slip: e769,4/7/2013,No
Expense,ElvisP,Concord,Consultants,CONCO-Project01,Slip: e770,4/7/2013,No
Expense,JamesR,Conway,Hand Tools,CONWA-Project02,Slip: e771,4/7/2013,No
Expense,SamS,Cummington,Power Tools,EEE-Project,Slip: e772,4/7/2013,No
Expense,ShawnR,Dalton,Cleanup Supplies,III-Project,Slip: e773,4/7/2013,No
Expense,TomH,Danvers,Pavers,OOO-Project,Slip: e774,4/7/2013,No
Expense,CoreyM,Dartmouth,Wood,UUU-Project,Slip: e775,4/7/2013,Yes
Expense,ElvisP,Dedham,First aid,,Slip: e776,4/7/2013,No
Expense,JamesR,Deerfield,Plants,AAA-Project,Slip: e777,4/8/2013,No
